QID,Delete
1014,Yes
1030,Yes
1031,Yes
1032,Yes
1033,Yes
1035,Yes
1036,Yes
1037,Yes
1038,Yes
1039,Yes
1041,Yes
1042,Yes
1043,Yes
1044,Yes
1045,Yes
1046,Yes
1048,Yes
1049,Yes
1050,Yes
1052,Yes
1053,Yes
1054,Yes
1055,Yes
1056,Yes
1057,Yes
1059,Yes
1184,Yes
1060,Yes
1062,Yes
1063,Yes
1065,Yes
1151,Yes
1067,Yes
1071,Yes
1075,Yes
1076,Yes
1077,Yes
1146,Yes
1079,Yes
1082,Yes
1083,Yes
1087,Yes
1088,Yes
1090,Yes
1092,Yes
1093,Yes
1096,Yes
1097,Yes
1098,Yes
1099,Yes
1101,Yes
1103,Yes
1105,Yes
1106,Yes
1107,Yes
1108,Yes
1110,Yes
1111,Yes
1117,Yes
1118,Yes
1121,Yes
1136,Yes
1137,Yes
1140,Yes
1141,Yes
1189,Yes
1199,Yes
1786,Yes
1428,Yes
1431,Yes
1470,Yes
1474,Yes
1486,Yes
1768,Yes
1769,Yes
